entity,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019
Oak Creek,0.0000,0.0000,0.0026,0.0013,0.0014,0.0024,0.0028,0.0022,0.0027,0.0034,0.0021,0.0024,0.0025,0.0025,0.0023,0.0019
Iraqis,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Aung San Suu Kyi,0.0000,0.0027,0.0000,0.0000,0.0009,0.0000,0.0000,0.0004,0.0004,0.0005,0.0003,0.0004,0.0000,0.0003,0.0000,0.0002
Newtown,0.0000,0.0036,0.0023,0.0030,0.0030,0.0016,0.0020,0.0030,0.0021,0.0028,0.0027,0.0022,0.0026,0.0025,0.0021,0.0011
Sputnik,0.0000,0.0000,0.0000,0.0017,0.0009,0.0007,0.0007,0.0112,0.0006,0.0008,0.0005,0.0005,0.0012,0.0008,0.0008,0.0011
Dakota Access,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0072,0.0005,0.0002
Janet Norwood,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ji Seong-ho,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0057,0.0000
Matt Bevin,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0010,0.0003,0.0003
Pflugerville,0.0000,0.0027,0.0029,0.0025,0.0032,0.0031,0.0019,0.0027,0.0031,0.0040,0.0035,0.0035,0.0031,0.0033,0.0041,0.0027
Belarus,0.0000,0.0031,0.0023,0.0042,0.0020,0.0017,0.0026,0.0024,0.0021,0.0019,0.0023,0.0028,0.0019,0.0017,0.0020,0.0021
Antonin Scalia,0.0000,0.0000,0.0000,0.0017,0.0000,0.0024,0.0015,0.0024,0.0014,0.0019,0.0009,0.0011,0.0018,0.0066,0.0009,0.0011
Strategic Petroleum Reserve,0.0000,0.0000,0.0000,0.0017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000
Veterans Day,0.0000,0.0000,0.0000,0.0000,0.0009,0.0010,0.0006,0.0047,0.0038,0.0023,0.0019,0.0025,0.0017,0.0014,0.0016,0.0024
Orrin Hatch,0.0000,0.0027,0.0000,0.0000,0.0000,0.0035,0.0007,0.0009,0.0000,0.0005,0.0004,0.0014,0.0009,0.0004,0.0005,0.0007
Khalid Sheik Mohammed,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0012,0.0000,0.0000,0.0003,0.0003,0.0004,0.0000,0.0002,0.0000,0.0001
Mombasa,0.0000,0.0000,0.0018,0.0000,0.0000,0.0007,0.0000,0.0011,0.0003,0.0003,0.0003,0.0005,0.0004,0.0004,0.0004,0.0003
Daniel Patrick Moynihan,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0002,0.0000,0.0003,0.0001
Star of David,0.0000,0.0045,0.0023,0.0023,0.0023,0.0020,0.0018,0.0026,0.0021,0.0014,0.0050,0.0016,0.0016,0.0021,0.0015,0.0014
First Lady,0.0000,0.0000,0.0000,0.0000,0.0014,0.0007,0.0006,0.0008,0.0006,0.0005,0.0004,0.0005,0.0006,0.0010,0.0010,0.0022
Afghan Army,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Abbas,0.0000,0.0000,0.0000,0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000
Dikembe Mutombo,0.0000,0.0000,0.0018,0.0160,0.0000,0.0010,0.0000,0.0007,0.0008,0.0082,0.0010,0.0006,0.0007,0.0005,0.0007,0.0005
Bronze Star,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0005,0.0007,0.0009,0.0003,0.0006,0.0003,0.0003,0.0019,0.0006
Korean Peninsula,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0004,0.0003,0.0002
Bloody Sunday,0.0000,0.0036,0.0000,0.0025,0.0012,0.0007,0.0029,0.0005,0.0004,0.0005,0.0003,0.0016,0.0008,0.0009,0.0008,0.0004
Gary Allen,0.0000,0.0000,0.0041,0.0021,0.0030,0.0016,0.0026,0.0025,0.0012,0.0036,0.0018,0.0011,0.0009,0.0012,0.0007,0.0010
Court of Appeals,0.0000,0.0080,0.0050,0.0049,0.0055,0.0025,0.0039,0.0043,0.0043,0.0030,0.0028,0.0040,0.0027,0.0028,0.0030,0.0017
Iraqi Governing Council,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Statue of Freedom,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000
Donna Shalala,0.0000,0.0000,0.0000,0.0000,0.0012,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0030
Zarqawi,0.0000,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0004,0.0000,0.0000,0.0000,0.0001
John Breaux,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Tim Johnson,0.0000,0.0000,0.0000,0.0023,0.0000,0.0000,0.0000,0.0004,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
John Walsh,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0003,0.0005,0.0005,0.0005,0.0004,0.0004,0.0016
Hambali,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Judd Gregg,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Softbank,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0004,0.0006,0.0006,0.0004,0.0003,0.0008,0.0010,0.0006
Tom Harkin,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0007,0.0005,0.0010,0.0004,0.0000,0.0000,0.0000,0.0000
Kent Conrad,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Provincial Reconstruction Teams,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
George Miller,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Charlie Norwood,0.0000,0.0000,0.0000,0.0065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Army Ranger,0.0000,0.0027,0.0026,0.0021,0.0017,0.0019,0.0031,0.0025,0.0019,0.0018,0.0059,0.0030,0.0016,0.0016,0.0016,0.0023
Pierre Gemayel,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Wesley Autrey,0.0000,0.0000,0.0000,0.0137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
START Treaty,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Gouverneur Morris,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Applause,0.0000,0.0000,0.0000,0.0021,0.0009,0.0010,0.0019,0.0008,0.0010,0.0007,0.0012,0.0010,0.0010,0.0011,0.0013,0.0024
Thomas DAlesandro, Jr.,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004
Allawi,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Justin Trudeau,0.0000,0.0000,0.0023,0.0000,0.0000,0.0010,0.0006,0.0006,0.0006,0.0004,0.0006,0.0005,0.0017,0.0227,0.0016,0.0019
Director of National Intelligence,0.0000,0.0000,0.0000,0.0000,0.0012,0.0007,0.0007,0.0000,0.0000,0.0006,0.0005,0.0004,0.0006,0.0006,0.0005,0.0004
Fallujah,0.0000,0.0000,0.0000,0.0025,0.0009,0.0000,0.0000,0.0005,0.0006,0.0005,0.0010,0.0006,0.0004,0.0004,0.0003,0.0003
Anbar Province,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Tim Penny,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Syrian Accountability Act,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Iraqi Government,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mad Men,0.0000,0.0000,0.0000,0.0000,0.0023,0.0050,0.0090,0.0096,0.0151,0.0086,0.0113,0.0076,0.0068,0.0048,0.0053,0.0062
Baby Einstein Company,0.0000,0.0027,0.0026,0.0211,0.0022,0.0027,0.0023,0.0019,0.0018,0.0024,0.0029,0.0028,0.0026,0.0016,0.0017,0.0013
F-35,0.0000,0.0000,0.0000,0.0013,0.0020,0.0021,0.0024,0.0021,0.0026,0.0021,0.0019,0.0029,0.0017,0.0048,0.0021,0.0021
Guinea,0.0000,0.0027,0.0018,0.0019,0.0034,0.0024,0.0021,0.0017,0.0020,0.0014,0.0009,0.0036,0.0016,0.0017,0.0017,0.0014
John Thompson,0.0000,0.0027,0.0018,0.0013,0.0000,0.0000,0.0008,0.0000,0.0005,0.0003,0.0000,0.0004,0.0003,0.0007,0.0000,0.0003
Ryan White Act,0.0000,0.0067,0.0018,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001
Safia Taleb al-Suhail,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Bob Gates,0.0000,0.0000,0.0000,0.0000,0.0000,0.0014,0.0006,0.0013,0.0007,0.0004,0.0012,0.0000,0.0003,0.0003,0.0000,0.0001
HOPE NOW Alliance,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Raqqa,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0004,0.0004,0.0005,0.0001
Hamas,0.0000,0.0027,0.0117,0.0013,0.0029,0.0019,0.0013,0.0009,0.0007,0.0005,0.0006,0.0013,0.0006,0.0007,0.0022,0.0005
National Assembly,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0003,0.0003,0.0003,0.0000,0.0004,0.0006,0.0003
Humvee,0.0000,0.0000,0.0018,0.0017,0.0014,0.0007,0.0022,0.0014,0.0013,0.0013,0.0012,0.0014,0.0013,0.0016,0.0016,0.0012
Beslan,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Iraqi Army,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000
Islamist,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0000,0.0000,0.0005,0.0003,0.0019,0.0010,0.0006,0.0004,0.0003
Tom Coburn,0.0000,0.0000,0.0000,0.0000,0.0000,0.0012,0.0006,0.0009,0.0004,0.0009,0.0016,0.0004,0.0000,0.0000,0.0000,0.0000
Congressional Budget Office,0.0000,0.0045,0.0035,0.0013,0.0013,0.0028,0.0030,0.0034,0.0014,0.0017,0.0015,0.0012,0.0004,0.0007,0.0008,0.0006
Jill Biden,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015,0.0016,0.0006,0.0018,0.0068,0.0067,0.0042,0.0028,0.0004,0.0000,0.0002
Mattis,0.0000,0.0054,0.0000,0.0000,0.0009,0.0000,0.0000,0.0006,0.0008,0.0004,0.0007,0.0005,0.0005,0.0050,0.0111,0.0065
Asia-Pacific,0.0000,0.0027,0.0000,0.0013,0.0014,0.0015,0.0013,0.0013,0.0008,0.0010,0.0011,0.0012,0.0011,0.0008,0.0007,0.0007
Cedar Revolution,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Albuquerque Police Department,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0004,0.0002,0.0003,0.0007,0.0002
National Center for Missing and Exploited Children,0.0000,0.0000,0.0041,0.0021,0.0009,0.0000,0.0009,0.0000,0.0005,0.0003,0.0004,0.0004,0.0000,0.0003,0.0002,0.0002
North Africa,0.0000,0.0036,0.0032,0.0017,0.0027,0.0026,0.0024,0.0020,0.0021,0.0020,0.0025,0.0026,0.0021,0.0034,0.0030,0.0022
Rare Disease Day,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0041,0.0002,0.0002
Leonard Abess,0.0000,0.0000,0.0000,0.0000,0.0000,0.0115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Pope Francis,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0004,0.0003,0.0057,0.0090,0.0124,0.0045,0.0074,0.0028,0.0081
Julie Aigner-Clark,0.0000,0.0000,0.0000,0.0048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Susan Oliver,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000,0.0007,0.0005,0.0000
P.S.,0.0000,0.0045,0.0018,0.0030,0.0016,0.0019,0.0015,0.0025,0.0022,0.0020,0.0023,0.0024,0.0020,0.0023,0.0024,0.0018
Persian Gulf,0.0000,0.0000,0.0000,0.0017,0.0012,0.0010,0.0006,0.0004,0.0009,0.0006,0.0005,0.0005,0.0025,0.0006,0.0006,0.0005
Proliferation Security Initiative,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
John Roberts,0.0000,0.0000,0.0056,0.0021,0.0022,0.0012,0.0021,0.0027,0.0013,0.0010,0.0005,0.0009,0.0010,0.0011,0.0008,0.0022
Central Piedmont Community College,0.0000,0.0045,0.0023,0.0034,0.0022,0.0025,0.0021,0.0025,0.0041,0.0024,0.0039,0.0026,0.0033,0.0021,0.0019,0.0014
G-20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0022,0.0015,0.0006,0.0014,0.0009,0.0005,0.0007,0.0006,0.0007,0.0005,0.0006
Sunni,0.0000,0.0067,0.0029,0.0072,0.0012,0.0019,0.0015,0.0029,0.0018,0.0019,0.0014,0.0031,0.0025,0.0021,0.0012,0.0017
Silver Star,0.0000,0.0000,0.0000,0.0023,0.0000,0.0007,0.0000,0.0000,0.0003,0.0004,0.0003,0.0006,0.0004,0.0003,0.0004,0.0006
Alexandria Police,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Corey Adams,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000
Tripoli,0.0000,0.0000,0.0000,0.0000,0.0017,0.0012,0.0010,0.0009,0.0018,0.0009,0.0006,0.0006,0.0005,0.0006,0.0008,0.0006
Security Council,0.0000,0.0000,0.0029,0.0013,0.0020,0.0009,0.0006,0.0008,0.0012,0.0010,0.0006,0.0010,0.0009,0.0011,0.0009,0.0008
United Nations General Assembly,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0007,0.0004,0.0003,0.0000,0.0005,0.0006,0.0004,0.0004,0.0003
Virgin Islands,0.0000,0.0000,0.0000,0.0013,0.0000,0.0015,0.0000,0.0008,0.0006,0.0005,0.0003,0.0005,0.0003,0.0005,0.0004,0.0004
Petraeus,0.0000,0.0000,0.0000,0.0055,0.0012,0.0009,0.0010,0.0011,0.0006,0.0010,0.0007,0.0007,0.0004,0.0003,0.0000,0.0004
Putin,0.0000,0.0045,0.0070,0.0013,0.0016,0.0021,0.0013,0.0027,0.0020,0.0021,0.0054,0.0068,0.0077,0.0098,0.0069,0.0074
West Bank,0.0000,0.0000,0.0018,0.0021,0.0011,0.0007,0.0008,0.0010,0.0005,0.0005,0.0007,0.0005,0.0005,0.0010,0.0008,0.0005
Steve Beshear,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0011,0.0000,0.0000,0.0264,0.0003,0.0007
Gulf States,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0005,0.0000,0.0000,0.0000,0.0002,0.0002,0.0001
Trans-Pacific Partnership,0.0000,0.0027,0.0000,0.0013,0.0000,0.0017,0.0013,0.0010,0.0005,0.0009,0.0038,0.0021,0.0090,0.0033,0.0016,0.0007
Oak Ridge National Laboratory,0.0000,0.0000,0.0000,0.0000,0.0009,0.0011,0.0010,0.0010,0.0003,0.0006,0.0003,0.0007,0.0003,0.0002,0.0002,0.0001
Sana'a,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Race to the Top,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0023,0.0114,0.0008,0.0008,0.0006,0.0000,0.0000,0.0000,0.0000,0.0001
Golden Mosque of Samarra,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Simpson-Bowles Commission,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0018,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Sandra Day O'Connor,0.0000,0.0000,0.0018,0.0000,0.0000,0.0000,0.0006,0.0000,0.0003,0.0004,0.0004,0.0003,0.0005,0.0006,0.0005,0.0007
Ramallah,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000,0.0003,0.0007,0.0003,0.0006,0.0002,0.0002,0.0002,0.0002
Secretary of Health and Human Services,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0006,0.0004,0.0003,0.0005,0.0005,0.0003,0.0004,0.0004,0.0009,0.0013
Richard Cordray,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0030,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000
National Academy of Sciences,0.0000,0.0027,0.0000,0.0000,0.0000,0.0007,0.0009,0.0006,0.0007,0.0004,0.0003,0.0003,0.0003,0.0009,0.0002,0.0001
Millennium Challenge Account,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
American Competitiveness Initiative,0.0000,0.0000,0.0018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Paycheck Fairness Act,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001
Riyadh,0.0000,0.0027,0.0000,0.0017,0.0010,0.0011,0.0059,0.0021,0.0015,0.0014,0.0018,0.0014,0.0010,0.0010,0.0011,0.0009
Ba'athist,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Qadhafi,0.0000,0.0000,0.0018,0.0000,0.0010,0.0007,0.0009,0.0010,0.0061,0.0016,0.0012,0.0008,0.0014,0.0010,0.0006,0.0011
Doha,0.0000,0.0000,0.0021,0.0017,0.0014,0.0016,0.0025,0.0017,0.0019,0.0021,0.0014,0.0022,0.0020,0.0017,0.0014,0.0016
Bob Dole,0.0000,0.0027,0.0026,0.0017,0.0048,0.0000,0.0006,0.0007,0.0005,0.0006,0.0003,0.0008,0.0005,0.0004,0.0006,0.0016
Neil Gorsuch,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0003,0.0000,0.0000,0.0003,0.0074,0.0034,0.0022
Rangoon,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0005,0.0005,0.0005,0.0005,0.0007,0.0004,0.0002,0.0003
Forsyth Tech,0.0000,0.0000,0.0035,0.0013,0.0020,0.0014,0.0008,0.0022,0.0010,0.0008,0.0015,0.0010,0.0008,0.0007,0.0006,0.0003
Bruce Randolph,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Omaha Beach,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0000,0.0004,0.0003,0.0005,0.0003,0.0003,0.0003,0.0003,0.0006
American Jobs Act,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000,0.0004,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Mazda,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Maureen Scalia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
National Export Initiative,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Information Age,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0010,0.0005,0.0005,0.0007,0.0005,0.0002,0.0005,0.0006,0.0003
New London,0.0000,0.0049,0.0050,0.0051,0.0040,0.0046,0.0040,0.0044,0.0037,0.0031,0.0033,0.0037,0.0037,0.0032,0.0035,0.0019
Superstorm Sandy,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0112,0.0027,0.0017,0.0011,0.0009,0.0008,0.0005
Selma,0.0000,0.0000,0.0000,0.0019,0.0016,0.0016,0.0015,0.0017,0.0017,0.0014,0.0016,0.0064,0.0021,0.0032,0.0027,0.0018
Nuclear Security Summit,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Andrews Air Force Base,0.0000,0.0000,0.0000,0.0013,0.0010,0.0000,0.0007,0.0009,0.0010,0.0006,0.0010,0.0005,0.0008,0.0007,0.0007,0.0004
Hadiya Pendleton,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0060,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000
Sara Jo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
North Miami,0.0000,0.0027,0.0023,0.0025,0.0020,0.0015,0.0019,0.0017,0.0024,0.0022,0.0027,0.0024,0.0030,0.0021,0.0025,0.0015
Galesburg,0.0000,0.0000,0.0032,0.0017,0.0014,0.0017,0.0025,0.0022,0.0026,0.0024,0.0015,0.0023,0.0027,0.0023,0.0024,0.0023
Greensburg,0.0000,0.0000,0.0000,0.0000,0.0011,0.0010,0.0008,0.0004,0.0000,0.0000,0.0003,0.0003,0.0003,0.0002,0.0002,0.0001
Independence,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0007,0.0003,0.0006,0.0006,0.0005,0.0006,0.0012,0.0007,0.0004
Darfur,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Vocational Schools,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015,0.0010,0.0005,0.0003,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0001
Parental Leave,0.0000,0.0036,0.0000,0.0019,0.0027,0.0020,0.0037,0.0019,0.0026,0.0027,0.0037,0.0052,0.0047,0.0050,0.0052,0.0139
coal mining (industry),0.0000,0.0054,0.0067,0.0025,0.0020,0.0020,0.0021,0.0027,0.0035,0.0019,0.0019,0.0020,0.0022,0.0045,0.0030,0.0023
Tax Cuts of 2017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
trade deficit,0.0000,0.0027,0.0000,0.0013,0.0012,0.0012,0.0014,0.0011,0.0013,0.0011,0.0006,0.0006,0.0010,0.0017,0.0014,0.0022
gun violence,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0008,0.0003,0.0048,0.0012,0.0005,0.0025,0.0017,0.0010,0.0022
Clean Power Plan,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0004,0.0002,0.0000,0.0000
Elementary and Secondary Education Act,0.0000,0.0045,0.0018,0.0017,0.0019,0.0020,0.0016,0.0024,0.0013,0.0014,0.0011,0.0016,0.0015,0.0017,0.0016,0.0010
Higher Education Act of 1965,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0006,0.0000,0.0003,0.0004,0.0000,0.0000,0.0000,0.0000,0.0002,0.0001
Immigration Policy,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0009,0.0007,0.0006,0.0004,0.0004,0.0015,0.0013,0.0010
